"UNU_Key","IntroductionYear"
"0001",1960
"0002",1990
"0101",1960
"0102",1970
"0103",1960
"0104",1960
"0105",1978
"0106",1970
"0108",1960
"0109",1974
"0111",1980
"0112",1977
"0113",1960
"0114",1985
"0201",1960
"0202",1970
"0203",1970
"0204",1960
"0205",1960
"0301",1980
"0302",1983
"0303",1981
"0304",1970
"0305",1960
"0306",1985
"0307",1990
"0308",1980
"0309",1980
"0401",1970
"0402",1960
"0403",1960
"0404",1984
"0405",1960
"0406",1985
"0407",1960
"0408",2000
"0501",1970
"0502",1988
"0503",1960
"0504",1960
"0505",2004
"0506",1960
"0507",1960
"0601",1960
"0602",1960
"0701",1960
"0702",1985
"0703",1975
"0801",1970
"0802",1970
"0901",1960
"0902",1970
"1001",1960
"1002",1970
