Year;World Population;Growth Rate %;Net Change;Density;Urban Pop;Urban Pop %
2016;7432663275;1,13;83191176;57;4034193153;54
2015;7349472099;1,15;83686153;57;3957285013;54
2014;7265785946;1,17;84070807;56;3880128255;53
2013;7181715139;1,19;84214686;55;3802824481;53
2012;7097500453;1,2;84073401;55;3725502442;52
2011;7013427052;1,21;83702009;54;3648252270;52
2010;6929725043;1,22;83245522;53;3571272167;52
2009;6846479521;1,22;82746642;53;3494944744;51
2008;6763732879;1,23;82125559;52;3419420251;51
2007;6681607320;1,23;81387073;51;3344752515;50
2006;6600220247;1,24;80584397;51;3271397980;50
2005;6519635850;1,24;79793442;50;3199013076;49
2004;6439842408;1,24;79077724;50;3127242628;49
2003;6360764684;1,25;78462917;49;3056838839;48
2002;6282301767;1,26;77991028;48;2987784981;48
2001;6204310739;1,27;77688618;48;2919962139;47
2000;6126622121;1,28;77416918;47;2856131072;47
1999;6049205203;1,29;77322378;47;2796899752;46
1998;5971882825;1,32;77727720;46;2738816645;46
1997;5894155105;1,35;78762800;45;2681474069;45
1996;5815392305;1,4;80269221;45;2624604780;45
1995;5735123084;1,45;81807191;44;2568062984;45
1994;5653315893;1,49;83270513;44;2511550590;44
1993;5570045380;1,55;84930104;43;2455122105;44
1992;5485115276;1,61;86786523;42;2398603088;44
1991;5398328753;1,67;88661054;42;2342005025;43
1990;5309667699;1,74;90689680;41;2285030904;43
1989;5218978019;1,8;92345325;40;2228072592;43
1988;5126632694;1,84;92827750;39;2171095781;42
1987;5033804944;1,86;91748826;39;2113397101;42
1986;4942056118;1,84;89515549;38;2057664889;42
1985;4852540569;1,82;86883007;37;2003049795;41
1984;4765657562;1,8;84447054;37;1950270079;41
1983;4681210508;1,79;82207134;36;1899031963;41
1982;4599003374;1,78;80401332;35;1849348541;40
1981;4518602042;1,78;78969577;35;1799434641;40
1980;4439632465;1,78;77442934;34;1749539272;39
